MouseNumber,Sex,LitterNumber,MotherNumber,Mother_Het,Het,Usp30_allele,CrossType
1,F,1,1,65,62,WT,0
2,F,1,1,65,50,WT,0
3,M,1,2,61,74,WT,0
4,M,1,2,61,57,WT,0
5,M,1,2,61,62,WT,0
6,M,1,3,65,64,WT,0
7,M,1,3,65,68,WT,0
8,F,1,4,70,55,WT,0
9,M,1,4,70,56,WT,0
10,M,1,4,70,40,WT,0
11,F,1,4,70,75,WT,0
12,F,1,4,70,56,WT,0
13,M,1,5,76,54,WT,0
14,M,1,6,65.3,78.8,Het,1
15,F,1,6,65.3,65.14,Het,1
16,F,1,6,65.3,64.81,Het,1
17,F,1,6,65.3,61.9,Het,1
18,F,1,6,65.3,75.32,Het,1
19,F,1,6,65.3,60.75,Het,1
20,F,1,6,65.3,71.06,Het,1
21,M,2,6,65.3,51.12,Het,1
22,F,2,6,65.3,69.97,Het,1
23,F,2,6,65.3,64.02,Het,1
24,F,2,6,65.3,70.28,Het,1
25,F,2,6,65.3,65.86,Het,1
26,F,2,6,65.3,71.87,Het,1
27,F,2,6,65.3,65.61,Het,1
28,M,1,8,73,69,WT,0
29,M,1,8,73,58,WT,0
30,F,1,8,73,62,WT,0
31,F,1,8,73,66,WT,0
32,F,1,8,73,70,WT,0
33,M,1,9,65,60,WT,0
34,M,1,9,65,70,WT,0
35,M,1,9,65,52,WT,0
36,M,1,9,65,69,WT,0
37,M,1,9,65,42,WT,0
38,M,1,9,65,60,WT,0
39,F,1,9,65,62,WT,0
40,F,1,9,65,53,WT,0
41,F,1,9,65,61,WT,0
42,F,1,9,65,69,WT,0
43,F,1,9,65,62,WT,0
44,F,2,9,65,54,WT,0
45,F,2,9,65,64,WT,0
46,M,3,9,65,60,WT,0
47,M,3,9,65,71,WT,0
48,M,3,9,65,73,WT,0
49,M,3,9,65,65,WT,0
50,M,3,9,65,75,WT,0
51,F,3,9,65,67,WT,0
52,F,3,9,65,65,WT,0
53,F,3,9,65,62,WT,0
54,F,3,9,65,57,WT,0
55,F,3,9,65,66,WT,0
56,F,3,9,65,72,WT,0
57,M,4,9,65,68,WT,0
58,M,4,9,65,69,WT,0
59,M,4,9,65,58,WT,0
60,F,4,9,65,59,WT,0
61,F,4,9,65,66,WT,0
62,F,4,9,65,40,WT,0
63,F,4,9,65,59,WT,0
64,M,1,10,67,56,WT,0
65,F,1,10,67,50,WT,0
66,F,1,10,67,44,WT,0
67,F,1,10,67,48,WT,0
68,F,1,10,67,53,WT,0
69,F,1,10,67,45,WT,0
70,F,1,10,67,46,WT,0
71,F,1,10,67,49,WT,0
72,F,1,10,67,69,WT,0
73,M,2,10,67,63,WT,0
74,M,2,10,67,53,WT,0
75,M,2,10,67,58,WT,0
76,M,2,10,67,64,WT,0
77,M,2,10,67,67,WT,0
78,M,2,10,67,60,WT,0
79,M,2,10,67,53,WT,0
80,M,2,10,67,73,WT,0
81,F,2,10,67,62,WT,0
82,F,2,10,67,56,WT,0
83,M,1,10,67,64,WT,0
84,M,1,10,67,49,WT,0
85,M,1,10,67,68,WT,0
86,M,1,10,67,66,WT,0
87,M,1,10,67,63,WT,0
88,M,1,10,67,74,WT,0
89,M,1,10,67,73,WT,0
90,F,1,10,67,72,WT,0
91,F,1,10,67,67,WT,0
92,F,1,10,67,72,WT,0
93,F,1,10,67,64,WT,0
94,M,2,10,67,65,WT,0
95,M,2,10,67,59,WT,0
96,F,2,10,67,64,WT,0
97,F,2,10,67,60,WT,0
98,F,2,10,67,48,WT,0
99,M,3,10,67,57,WT,0
100,M,3,10,67,68,WT,0
101,M,3,10,67,65,WT,0
102,F,3,10,67,65,WT,0
103,F,3,10,67,64,WT,0
104,F,3,10,67,71,WT,0
105,F,3,10,67,46,WT,0
106,F,3,10,67,62,WT,0
107,M,4,10,67,64,WT,0
108,M,4,10,67,56,WT,0
109,M,4,10,67,52,WT,0
110,M,4,10,67,62,WT,0
111,F,4,10,67,68,WT,0
112,F,4,10,67,66,WT,0
113,F,4,10,67,63,WT,0
114,F,4,10,67,46,WT,0
115,M,1,11,72,52,WT,0
116,M,1,11,72,46,WT,0
117,M,1,11,72,48,WT,0
118,M,1,11,72,62,WT,0
119,F,1,11,72,73,WT,0
120,M,2,11,72,58,WT,0
121,M,2,11,72,58,WT,0
122,M,2,11,72,66,WT,0
123,M,2,11,72,58,WT,0
124,M,2,11,72,49,WT,0
125,M,2,11,72,57,WT,0
126,F,2,11,72,57,WT,0
127,F,2,11,72,57,WT,0
128,M,3,11,72,70,WT,0
129,M,3,11,72,47,WT,0
130,M,1,12,64,58,WT,0
131,M,1,12,64,60,WT,0
132,M,1,12,64,63,WT,0
133,M,1,12,64,61,WT,0
134,M,1,12,64,47,WT,0
135,M,1,12,64,58,WT,0
136,F,1,12,64,59,WT,0
137,F,1,12,64,62,WT,0
138,F,1,12,64,66,WT,0
139,F,1,12,64,59,WT,0
140,M,2,12,64,50,WT,0
141,M,2,12,64,67,WT,0
142,M,2,12,64,62,WT,0
143,F,2,12,64,43,WT,0
144,F,2,12,64,50,WT,0
145,F,2,12,64,66,WT,0
146,F,2,12,64,53,WT,0
147,M,4,12,64,72,WT,0
148,M,4,12,64,52,WT,0
149,F,4,12,64,63,WT,0
150,F,4,12,64,53,WT,0
151,F,4,12,64,69,WT,0
152,F,4,12,64,37,WT,0
153,F,4,12,64,70,WT,0
